movie_name,Directed by,Produced by,Productioncompany,Distributed by,Running time (mins),Country,Language, Budget ,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies,,,,,,,,,,
The World's Greatest Athlete,Robert Scheerer,Bill Walsh,Walt Disney Productions,Buena Vista Distribution,93,United States,English,,,Frank V. Phillips,,"Dee Caruso, 'Gerald Gardner'",,,,,,,,,,,,,,
Charley and the Angel,Vincent McEveety,Bill Anderson,Walt Disney Productions,Buena Vista Distribution,93,United States,English,,,Charles F. Wheeler,23/03/1973,Will Stanton,Bob BringRay de Leuw,,,,,,,,,,,,,
One Little Indian (film),Bernard McEveety,Winston Hibler,Walt Disney Productions,Buena Vista Distribution,90,United States,English,,,Charles F. Wheeler,20/06/1973,Harry Spalding,Robert Stafford,,,,,,,,,,,,,
Robin Hood (1973 film),Wolfgang Reitherman,Wolfgang Reitherman,Walt Disney Productions,Buena Vista Distribution,83,United States,English," $5,000,000.00 ",,,08/11/1973,,"Tom Acosta,Jim Melton",,,,,,,,,,,,,
Superdad,Vincent McEveety,Bill Anderson,Walt Disney Productions,Buena Vista Distribution,96,United States,English,,,Andrew Jackson,14/12/1973,Harlan Ware,Ray de Leuw,,,,,,,,,,,,,
Herbie Rides Again,Robert Stevenson,Bill Walsh,Walt Disney Productions,Buena Vista Distribution,88,United States,English,,,Frank V. Phillips,06/06/1974,,Cotton Warburton,Bill Walsh,,,,,,,,,,,,
The Bears and I,Bernard McEveety,Winston Hibler,Walt Disney Productions,Buena Vista Distribution,89,United States,English,,Jack Speirs,Ted D. Landon,31/07/1974,,G. Gregg McLaughlin,John Whedon,,,,,,,,,,,,
The Castaway Cowboy,Vincent McEveety,"Ron Miller, Winston Hibler",Walt Disney Productions,Buena Vista Distribution,91,United States,English,,,Andrew Jackson,01/08/1974,Don Tait,Cotton Warburton,,,,,,,,,,,,,
The Island at the Top of the World,Robert Stevenson,Winston Hibler,Walt Disney Productions,Buena Vista Distribution,93,United States,English," $8,000,000.00 ",,Frank V. Phillips,,"Ian Cameron, 'John Whedon'",Robert Stafford,,,,,,,,,,,,,
The Strongest Man in the World,Vincent McEveety,Bill Anderson,Walt Disney Productions,Buena Vista Distribution,92,United States,English,,,Andrew Jackson,06/02/1975,Joseph L. McEveetyHerman Groves,Cotton Warburton,,,,,,,,,,,,,
Escape to Witch Mountain (1975 film),John Hough,"Ron Miller, Jerome Courtland",Walt Disney Productions,Buena Vista Distribution,97,United States,English,,,Frank V. Phillips,21/03/1975,,Robert Stafford,Robert Malcolm Young,,,,,,,,,,,,
The Apple Dumpling Gang (film),Norman Tokar,Bill Anderson,Walt Disney Productions,Buena Vista Distribution,100,United States,English,,,Frank V. Phillips,01/07/1975,,Ray de Leuw,Don Tait,,,,,,,,,,,,
One of Our Dinosaurs Is Missing,Robert Stevenson,Bill Walsh,Walt Disney Productions,Buena Vista Distribution,100,,English,,,Paul Beeson,09/07/1975,Bill Walsh,Peter Boita,,"United Kingdom,United States",,,,,,,,,,,
The Best of Walt Disney's True-Life Adventures,,Ben Sharpsteen,Walt Disney Productions,Buena Vista Distribution,89,United States,English,,Winston Hibler,"N. Paul Kenworthy, Lois Crisler, Jack C. Couffer",08/10/1975,"Winston Hibler, Ted Sears",Norman Palmer,,,,,,,,,,,,,
Ride a Wild Pony,Don Chaffey,Jerome Courtland,Walt Disney Productions,Buena Vista Distribution,91,,English,,,Jack Cardiff,,Rosemary Anne Sisson,Mike Campbell,,"United States,Australia",,,,,,,,,,,
"No Deposit, No Return",Norman Tokar,Ron Miller,Walt Disney Productions,Buena Vista Distribution,112,United States,English,,,Frank V. Phillips,11/02/1976,,Cotton Warburton,Don Nelson,,,,,,,,,,,,
Treasure of Matecumbe,Vincent McEveety,"Bill Anderson, Ron Miller",Walt Disney Productions,Buena Vista Distribution,115,United States,English,,,Frank V. Phillips,01/07/1976,Don Tait,Cotton Warburton,,,,,,,,,,,,,
Gus (1976 film),Vincent McEveety,Ron Miller,Walt Disney Productions,Buena Vista Distribution,95,United States,English,,,Frank Phillips,07/07/1976,,Robert Stafford,Don Nelson,,,,,,,,,,,,
The Shaggy D.A.,Robert Stevenson,Bill Anderson,Walt Disney Productions,Buena Vista Distribution,91,United States,English,,,Frank V. Phillips,16/12/1976,Don Tait,"Bob Bring,Norman R. Palmer",,,,,,,,,,,,,
Freaky Friday (1976 film),Gary Nelson,Ron Miller,Walt Disney Productions,Buena Vista Distribution,97,United States,English," $5,000,000.00 ",,Charles F. Wheeler,,,Cotton Warburton,Mary Rodgers,,,,,,,,,,,,
Escape from the Dark,Charles Jarrott,Ron Miller,Walt Disney Productions,Buena Vista Distribution,104,,English,,,Paul Beeson,,Rosemary Anne Sisson,Richard Marden,,"United Kingdom,United States",,,,,,,,,,,
The Many Adventures of Winnie the Pooh,"John Lounsbery, Wolfgang Reitherman",Walt Disney,Walt Disney Productions,Buena Vista Distribution,74,United States,English,,,,11/03/1977,,Tom AcostaJames Melton,,,,,,,,,,,,,
The Rescuers,"Wolfgang Reitherman, John Lounsbery, Art Stevens",Wolfgang Reitherman,Walt Disney Productions,Buena Vista Distribution,77,United States,English," $7,500,000.00 ",,,22/06/1977,,"Jim Koford,James Melton",,,,,,,,,,,,,
Herbie Goes to Monte Carlo,Vincent McEveety,Ron Miller,Walt Disney Productions,Buena Vista Distribution,104,United States,English,,,Leonard J. South,24/06/1977,Don Nelson,Cotton Warburton,,,,,,,,,,,,,
Pete's Dragon (1977 film),Don Chaffey,"Jerome Courtland, Ron W. Miller",Walt Disney Productions,Buena Vista Distribution,128,United States,English," $10,000,000.00 ",,Frank Phillips,03/11/1977,,Gordon D. Brenner,Malcolm Marmorstein,,,,,,,,,,,,
Candleshoe,Norman Tokar,Ron Miller,Walt Disney Productions,Buena Vista Distribution,101,United States,English,,,Paul Beeson,16/12/1977,,Peter Boita,"David Swift, Rosemary Anne Sisson",,,,,,,,,,,,
Return from Witch Mountain,John Hough,"Ron Miller, Jerome Courtland",Walt Disney Productions,Buena Vista Distribution,94,United States,English,,,Frank V. Phillips,10/03/1978,Malcolm Marmorstein,Bob Bring,,,,,,,,,,,,,
The Cat from Outer Space,Norman Tokar,Ron Miller,Walt Disney Productions,Buena Vista Distribution,104,United States,English,,,Charles F. Wheeler,30/06/1978,Ted Key,Cotton Warburton,,,,,,,,,,,,,
Hot Lead and Cold Feet,Robert Butler,Ron Miller,Walt Disney Productions,Buena Vista Distribution,90,United States,English,,,Frank V. Phillips,05/07/1978,Don Nelson,Ray de Leuw,,,,,,,,,,,,,
The North Avenue Irregulars,Bruce Bilson,Ron Miller,Walt Disney Productions,Buena Vista Distribution,100,United States,English,,,Leonard J. South,09/02/1979,Don Tait,Gordon D. Brenner,,,,,,,,,,,,,
The Apple Dumpling Gang Rides Again,Vincent McEveety,"Tom Leetch, Ron W. Miller",Walt Disney Productions,Buena Vista Distribution,88,United States,English,,,Frank V. Phillips,27/06/1979,Don Tait,Gordon Brenner,,,,,,,,,,,,,
Unidentified Flying Oddball,Russ Mayberry,Ron Miller,Walt Disney Productions,Buena Vista Distribution,93,,English," $5,250,000.00 ",,Paul Beeson,,Don Tait,Peter Boita,,"United Kingdom,United States",,,,,,,,,,,
The Black Hole,Gary Nelson,Ron Miller,Walt Disney Productions,Buena Vista Distribution,98,United States,English," $20,000,000.00 ",,Frank Phillips,,,Gregg McLaughlin,Gerry Day,,,,,,,,,,,,
Midnight Madness (1980 film),Michael Nankin,Ron Miller,Walt Disney Productions,Buena Vista Distribution,112,United States,English," $4,500,000.00 ",,Frank V. Phillips,08/02/1980,Michael Nankin,Norman R. PalmerJack Sekely,,,,,,,,,,,,,
The Watcher in the Woods (1980 film),"John Hough, Vincent McEveety",Ron Miller,Walt Disney Productions,Buena Vista Distribution,84,,English," $9,000,000.00 ",,Alan Hume,,,Geoffrey Foot,"Brian Clemens, Harry Spalding, Rosemary Anne Sisson","United States,United Kingdom",,,,,,,,,,,
Herbie Goes Bananas,Vincent McEveety,Ron Miller,Walt Disney Productions,Buena Vista Distribution,97,United States,English,,,Frank V. Phillips,27/06/1980,Don Tait,Gordon D. Brenner,,,,,,,,,,,,,
The Last Flight of Noah's Ark,Charles Jarrott,Ron Miller,Walt Disney Productions,Buena Vista Distribution,97,United States,English,,,Charles F. Wheeler,09/07/1980,"Steven W. Carabatsos, 'George Arthur Bloom'",Gordon D. Brenner,,,,,,,,,,,,,
Popeye (film),Robert Altman,Robert Evans,,Buena Vista Distribution,114,United States,English," $20,000,000.00 ",,Giuseppe Rotunno,,,John W. Holmes,Jules Feiffer,,"Paramount Pictures, Walt Disney Productions, Robert Evans Productions, King Features",,,,,,,,,,
The Devil and Max Devlin,Steven Hilliard Stern,Jerome Courtland,Walt Disney Productions,Buena Vista Distribution,96,United States,English,,,Howard Schwartz,,Mary Rodgers,Ray de Leuw,,,,,,,,,,,,,
Amy (1981 film),Vincent McEveety,Jerome Courtland,Walt Disney Productions,Buena Vista Distribution,97,United States,English,,,Leonard J. South,20/03/1981,Noreen Stone,Gregg McLaughlin,,,,,,,,,,,,,
Dragonslayer (1981 film),Matthew Robbins,Howard W. Koch,,Buena Vista Distribution,109,United States,English," $18,000,000.00 ",,Derek Vanlint,26/06/1981,Hal Barwood,Tony Lawson,,,"Paramount Pictures, Walt Disney Productions",,,,,,,,,,
The Fox and the Hound,"Ted Berman, Richard Rich, Art Stevens","Ron Miller, Wolfgang Reitherman",Walt Disney Productions,Buena Vista Distribution,83,United States,English," $12,000,000.00 ",,,10/07/1981,,James MeltonJim Koford,,,,,,,,,,,,,
Condorman,Charles Jarrott,Jan Williams,Walt Disney Productions,Buena Vista Distribution,90,United States,English," $14,000,000.00 ",,Charles F. Wheeler,07/08/1981,,Gordon D. Brenner,Marc Stirdivant,,,,,,,,,,,,
Night Crossing,Delbert Mann,Tom Leetch,Walt Disney Productions,Buena Vista Distribution,107,,English," $10,000,000.00 ",,Tony Imi,05/02/1982,John McGreevey,Gordon D. Brenner,,"United Kingdom,United States",,,,,,,,,,,
Tron,Steven Lisberger,Donald Kushner,,Buena Vista Distribution,96,United States,English," $17,000,000.00 ",,Bruce Logan,09/07/1982,,Jeff Gourson,Steven Lisberger,,Walt Disney Productions,,,,,,,,,,
Tex (film),Tim Hunter,Tim Zinnemann,Walt Disney Productions,Buena Vista Distribution,103,United States,English," $5,000,000.00 ",,Ric Waite,30/07/1982,,Howard E. Smith,Charles S. Haas,,,,,,,,,,,,
Trenchcoat (film),Michael Tuchner,Jerry Leider,Walt Disney Productions,Buena Vista Distribution,91,United States,English," $8,000,000.00 ",,Tonino Delli Colli,11/03/1983,Jeffrey PricePeter S. Seaman,Frank J. Urioste,,,,,,,,,,,,,
Something Wicked This Way Comes (film),Jack Clayton,Peter Douglas,,Buena Vista Distribution,95,United States,English," $20,000,000.00 ",,Stephen H. Burum,29/04/1983,,Barry Mark GordonArt J. Nelson,Ray Bradbury,,"Walt Disney Productions, The Bryna Company",,,,,,,,,,
Never Cry Wolf (film),Carroll Ballard,"Lewis Allen, Jack Couffer, Joseph Strick",,Buena Vista Distribution,105,United States,English," $11,000,000.00 ",,Hiro Narita,,,Michael Chandler,"Curtis Hanson, Sam Hamm",,Walt Disney Pictures,,,,,,,,,,
Return to Oz,Walter Murch,Paul Maslansky,,Buena Vista Distribution,113,,English," $28,000,000.00 ",,"David Watkin, 'Freddie Francis'",21/06/1985,,Leslie Hodgson,Gill Dennis,"United States,United Kingdom","Walt Disney Pictures, Silver Screen Partners",,,,,,,,,,
The Black Cauldron (film),"Ted Berman, Richard Rich",Joe Hale,,Buena Vista Distribution,80,United States,English," $4,000,000.00 ",,,24/07/1985,,"James Melton,Jim Koford,Armetta Jackson",,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
The Journey of Natty Gann,Jeremy Kagan,Mike Lobell,,Buena Vista Distribution,101,United States,English," $8,000,000.00 ",,Dick Bush,27/09/1985,Jeanne Rosenberg,David Holden,,,"Walt Disney Pictures, Silver Screen Partners II",,,,,,,,,,
One Magic Christmas,Phillip Borsos,Peter OBrian,,Buena Vista Distribution,90,,English," $7,500,000.00 ",,Frank Tidy,22/11/1985,,Sidney Wolinsky,Thomas Meehan,"United States,Canada","Walt Disney Pictures, Silver Screen Partners II, Telefilm Canada",,,,,,,,,,
The Great Mouse Detective,"John Musker, Ron Clements, Burny Mattinson",Burny Mattinson,,Buena Vista Distribution,74,United States,English," $14,000,000.00 ",,,02/07/1986,,,,,"Walt Disney Pictures, Walt Disney Feature Animation, Silver Screen Partners II",,,,,,,,,,
Flight of the Navigator,Randal Kleiser,Dimitri VillardRobert Wald,,Buena Vista Distribution,90,United States,English," $9,000,000.00 ",,James Glennon,01/08/1986,,Jeff Gourson,"Michael Burton,Matt MacManus",,"PSO Productions, PSO ProductionsViking Film AS",,,,,,,,,,
Benji the Hunted,Joe Camp,Ben Vaughn,,Buena Vista Distribution,89,United States,English,,,Don Reddy,05/06/1987,Joe Camp,Karen Thorndike,,,"Walt Disney Pictures, Silver Screen Partners III",,,,,,,,,,
The Man from Snowy River II,Geoff Burrowes,Geoff Burrowes,,,110,Australia,English,,,Keith Wagstaff,24/03/1988,"Banjo Paterson, Geoff Burrowes, John Dixon",Gary Woodyard,,,"Walt Disney Pictures, Silver Screen Partners III, Burrowes Film Group, The Hoyts Group",,,,,,,,,,
Oliver & Company,George Scribner,,,Buena Vista Distribution,74,United States,English," $31,000,000.00 ",,,18/11/1988,,,James Mangold,,"Walt Disney Pictures, Walt Disney Feature Animation, Silver Screen Partners III",,,,,,,,,,
"Honey, I Shrunk the Kids",Joe Johnston,Penney Finkelman Cox,,Buena Vista Distribution,93,United States,English,,,Hiro Narita,23/06/1989,,Michael A. Stevenson,"Ed Naha, Tom Schulman",,"Walt Disney Pictures, Silver Screen Partners III",,,,,,,,,,
Cheetah (1989 film),Jeff Blyth,Roy E. Disney,,Buena Vista Distribution,84,United States,English," $5,000,000.00 ",,Thomas Burstyn,18/08/1989,,Eric Albertson,"Erik Tarloff,John Cotter,Griff Du Rhone",,"Walt Disney Pictures, Silver Screen Partners III",,,,,,,,,,
The Little Mermaid (1989 film),"John Musker, Ron Clements",Howard Ashman,,Buena Vista Distribution,83,United States,English," $4,000,000.00 ",,,17/11/1989,"John Musker, Ron Clements",Mark Hester,,,"Walt Disney Pictures, Walt Disney Feature Animation, Silver Screen Partners IV",,,,,,,,,,
DuckTales the Movie: Treasure of the Lost Lamp,Bob Hathcock,Bob Hathcock,,Buena Vista Distribution,69,United States,English," $20,000,000.00 ",,,03/08/1990,,Charles King,Alan Burnett,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
The Rescuers Down Under,Mike Gabriel,Thomas Schumacher,,Buena Vista Distribution,77,United States,English,,,,16/11/1990,,Michael Kelly,"Karey Kirkpatrick, Joe Ranft",,"Walt Disney Pictures, Walt Disney Feature Animation, Silver Screen Partners IV",,,,,,,,,,
White Fang (1991 film),Randal Kleiser,Markay Powell,,Buena Vista Distribution,107,United States,English," $14,000,000.00 ",,Tony Pierce-Roberts,18/01/1991,,Lisa Day,Jeanne RosenbergNick ThielDavid Fallon,,"Walt Disney Pictures, Silver Screen Partners IV",,,,,,,,,,
Shipwrecked (1990 film),Nils Gaup,"John M. Jacobsen, Nigel Wooll",,Buena Vista Distribution,93,,,,,Erling Thurmann-Andersen,,O.V. Falck-Ytter and crew,Nils Pagh Andersen,,"Norway,Sweden,United States","Walt Disney Pictures, AB Svensk Filmindustri",,,,,,,,,,
Wild Hearts Can't Be Broken,Steve Miner,Matt Williams,Walt Disney Productions,Buena Vista Distribution,88,United States,English,,,Daryn Okada,24/05/1991,Matt Williams,Jon Poll,,,,,,,,,,,,,
The Rocketeer (film),Joe Johnston,"Charles Gordon, Lawrence Gordon, Lloyd Levin",,Buena Vista Distribution,108,United States,English,,,Hiro Narita,21/06/1991,,Arthur Schmidt,"Danny Bilson, Paul De Meo",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Beauty and the Beast (1991 film),"Gary Trousdale, Kirk Wise",Don Hahn,,Buena Vista Distribution,84,United States,English," $25,000,000.00 ",,,,,John Carnochan,Linda Woolverton,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Newsies,Kenny Ortega,Michael Finnell,,Buena Vista Distribution,121,United States,English," $15,000,000.00 ",,Andrew Laszlo,10/04/1992,"Bob Tzudiker, Noni White",William H. Reynolds,,,"Walt Disney Pictures, Touchwood Pacific Partners I",,,,,,,,,,
"Honey, I Blew Up the Kid",Randal Kleiser,"Dawn Steel, Edward S. Feldman",,Buena Vista Distribution,89,United States,English," $32,000,000.00 ",,John Hora,17/07/1992,,Michael A. StevensonHarry Hitner,"Garry Goodrow, Thom Eberhardt",,"Walt Disney Pictures, Touchwood Pacific Partners, Walt Disney PicturesTouchwood Pacific Partners",,,,,,,,,,
The Mighty Ducks (film),Stephen Herek,"Jon Avnet, Jordan Kerner",,Buena Vista Distribution,104,United States,English," $14,000,000.00 ",,Thomas Del Ruth,02/10/1992,Steven Brill,John F. Link,,,"Walt Disney Pictures, Kerner, Touchwood Pacific Partners",,,,,,,,,,
Aladdin (1992 Disney film),"John Musker, Ron Clements",John MuskerRon Clements,,Buena Vista Distribution,90,United States,English," $28,000,000.00 ",,,11/11/1992,,H. Lee Peterson,"Ted Elliott, Terry Rossio",,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
The Muppet Christmas Carol,Brian Henson,Brian HensonMartin G. Baker,,Buena Vista Distribution,86,United States,English," $12,000,000.00 ",,John Fenner,11/12/1992,,Michael Jablow,Jerry Juhl,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Homeward Bound: The Incredible Journey,Duwayne Dunham,"Jeffrey Chernov, Franklin R. Levy",Walt Disney Productions,Buena Vista Distribution,84,United States,English,,,Reed Smoot,03/02/1993,,Jonathan P. Shaw,"Caroline Thompson, Linda Woolverton, Jonathan Roberts",,,,,,,,,,,,
A Far Off Place,Mikael Salomon,Eva Monley,,Buena Vista Distribution,108,United States,English,,,Juan Ruiz Anch,12/03/1993,,Ray Lovejoy,"Robert Caswell, Jonathan Hensleigh",,"Walt Disney Pictures, Amblin Entertainment, Touchwood Pacific Partners",,,,,,,,,,
The Adventures of Huck Finn (1993 film),Stephen Sommers,Laurence Mark,Walt Disney Productions,Buena Vista Distribution,107,United States,English," $11,000,000.00 ",,,02/04/1993,,Bob Ducsay,Stephen Sommers,,,,,,,,,,,,
Hocus Pocus (1993 film),Kenny Ortega,Steven Haft,Walt Disney Productions,Buena Vista Distribution,96,United States,English," $28,000,000.00 ",,Hiro Narita,16/07/1993,,Peter E. Berger,Mick Garris,,,,,,,,,,,,
Cool Runnings,Jon Turteltaub,"Dawn Steel, Chris Meledandri, Dawn SteelChris Meledandri",Walt Disney Productions,Buena Vista Distribution,98,United States,English," $17,000,000.00 ",,Phedon Papamichael,01/10/1993,,Bruce Green,"Tommy Swerdlow, Michael Goldberg",,,,,,,,,,,,
The Three Musketeers (1993 film),Stephen Herek,"Joe Roth, Roger Birnbaum",,Buena Vista Distribution,105,,English," $30,000,000.00 ",,Dean Semler,12/11/1993,,John F. Link,David Loughery,"United States,Austria","Walt Disney Pictures, Caravan Pictures",,,,,,,,,,
Iron Will,Charles Haid,Patrick PalmerRobert Schwartz,Walt Disney Productions,Buena Vista Distribution,109,United States,English,,,William Wages,14/01/1994,John Michael Hayes,Andrew Doerfer,,,,,,,,,,,,,
Blank Check (film),Rupert Wainwright,Gary Adelson,Walt Disney Productions,Buena Vista Distribution,94,United States,English," $13,000,000.00 ",,Bill Pope,11/02/1994,Blake Snyder,Jill Savitt,,,,,,,,,,,,,
D2: The Mighty Ducks,Sam Weisman,"Jon Avnet, Jordan Kerner",,Buena Vista Distribution,106,United States,English,,,Mark Irwin,25/03/1994,Steven Brill,John F. Link,,,Walt Disney Pictures,,,,,,,,,,
White Fang 2: Myth of the White Wolf,Ken Olin,Preston Fischer,Walt Disney Productions,Buena Vista Distribution,102,United States,English,,,Hiro Narita,14/04/1994,David Fallon,Elba Sanchez-Short,,,,,,,,,,,,,
The Return of Jafar,"Tad Stones, Alan Zaslove",Tad StonesAlan Zaslove,,Walt Disney Pictures,69,,English," $5,000,000.00 ",,,20/05/1994,"Dev Ross, Jan Strnad","Robert S. Birchard,Elen Orson",,United States,"Walt Disney Video Premiere, Walt Disney Television Animation, Walt Disney Video PremiereWalt Disney Television Animation",,,,,,,,,,
The Lion King,"Roger Allers, Rob Minkoff",Don Hahn,,Buena Vista Distribution,88,United States,English," $4,500,000.00 ",,,15/06/1994,,Ivan Bilancio,"Irene Mecchi, Jonathan Roberts, Linda Woolverton",,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
Angels in the Outfield (1994 film),William Dear,"Joe Roth, Roger Birnbaum",,Buena Vista Distribution,102,United States,English," $31,000,000.00 ",,Matthew F. Leonetti,15/07/1994,,Bruce Green,Holly Goldberg Sloan,,"Walt Disney Pictures, Caravan Pictures",,,,,,,,,,
Squanto: A Warrior's Tale,Xavier Koller,Kathryn F. Galan,Walt Disney Productions,Buena Vista Distribution,102,,English,,,Robbie Greenberg,28/10/1994,Darlene Craviotto,"Lisa Day,Gillian Hutshing",,"United States,Canada",,,,,,,,,,,
The Santa Clause,John Pasquin,"Brian Reilly, Robert Newmyer",,Buena Vista Distribution,97,United States,English," $22,000,000.00 ",,Walt Lloyd,,Leo BenvenutiSteve Rudnick,Larry Bock,,,"Walt Disney Pictures, Hollywood Pictures",,,,,,,,,,
The Jungle Book (1994 film),Stephen Sommers,"Edward S. Feldman, Raju Patel",,Walt Disney Pictures,111,United States,English," $30,000,000.00 ",,Juan Ruiz Anch,25/12/1994,,Bob Ducsay,Stephen SommersRonald YanoverMark Geldman,,Vegahom EuropeBaloo ProductionsJungle Book Films[1,,,,,,,,,,
Gargoyles the Movie: The Heroes Awaken,Saburo HashimotoTakamitsu KawamuraKazuo Terada,Frank PaurGreg WeismanLisa A. Salamone,Walt Disney Productions,Buena Vista Distribution,92,,English,,,,31/01/1995,"Eric Luke (story), Michael Reaves (screenplay/story)",Susan Edmunson,,United States,,,,,,,,,,,
Heavyweights,Steven Brill,"Roger Birnbaum, Joe Roth, Jack Giarraputo",,Buena Vista Distribution,100,United States,English,,,Victor Hammer,17/02/1995,Judd Apatow,Carroll Timothy O'Meara,,,"Walt Disney Pictures, Caravan Pictures",,,,,,,,,,
Man of the House (1995 film),James Orr,"Bonnie Bruckheimer, Marty Katz",,Buena Vista Distribution,96,United States,English," $22,000,000.00 ",Jonathan Taylor Thomas,Jamie Anderson,03/03/1995,,Harry Keramidas,James OrrJim Cruickshank,,"Walt Disney Pictures, Orr & Cruickshank Productions",,,,,,,,,,
Tall Tale (film),Jeremiah Chechik,"Joe Roth, Roger Birnbaum",,Buena Vista Distribution,96,United States,English," $32,000,000.00 ",,,24/03/1995,Robert Rodat,Richard Chew,,,"Walt Disney Pictures, Caravan Pictures",,,,,,,,,,
A Goofy Movie,Kevin Lima,Dan Rounds,,Buena Vista Distribution,78,United States,English," $18,000,000.00 ",,,07/04/1995,,Gregory Perler,"Jymn Magon, Chris Matheson, Brian Pimental",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Pocahontas (1995 film),"Mike Gabriel, Eric Goldberg",Jim Pentecost,,Buena Vista Distribution,81,United States,English," $55,000,000.00 ",,,,"Carl Binder, Susannah Grant, Philip LaZebnik",H. Lee Peterson,,,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
Operation Dumbo Drop,Simon Wincer,David Madden,,Buena Vista Distribution,108,,,,,Russell Boyd,28/07/1995,,O. Nicholas Brown,"Gene Quintano, Jim Kouf",,"Walt Disney Pictures, Interscope Communications, PolyGram Filmed Entertainment",,,,,,,,,,
A Kid in King Arthur's Court,Michael Gottlieb,Peter AbramsJ.P. GuerinRobert L. Levy,,Buena Vista Distribution,89,,English," $15,000,000.00 ",,Elem Raglyi,11/08/1995,Robert L. Levy,Anita Brandt-Burgoyne,,"United Kingdom,United States","Trimark Pictures, Walt Disney Pictures, Tapestry Films",,,,,,,,,,
The Big Green,Holly Goldberg Sloan,Roger Birnbaum,,Buena Vista Distribution,99,United States,English," $12,000,000.00 ",,Ralf D. Bode,27/09/1995,Holly Goldberg Sloan,John F. Link,,,"Walt Disney Pictures, Caravan Pictures",,,,,,,,,,
Frank and Ollie,Theodore Thomas,Kuniko OkuboTheodore Thomas,,Buena Vista Distribution,89,United States,English,,,Erik Daarstad,,Theodore Thomas,Kathryn Camp,,,Walt Disney Pictures,,,,,,,,,,
Toy Story,John Lasseter,"Bonnie Arnold, Ralph Guggenheim",,Buena Vista Distribution,81,United States,English," $30,000,000.00 ",,,,,Lee Unkrich,"Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Tom and Huck,Peter Hewitt,"Laurence Mark, John Baldecchi",Walt Disney Productions,Buena Vista Distribution,92,United States,English,,,Bobby Bukowski,22/12/1995,,David Freeman,"Stephen Sommers, David Loughery",,,,,,,,,,,,
Muppet Treasure Island,Brian Henson,Brian HensonMartin G. Baker,,Buena Vista Distribution,100,United States,English," $31,000,000.00 ",,John Fenner,16/02/1996,,Michael Jablow,"Jerry Juhl, Kirk R. Thatcher, James V. Hart",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Homeward Bound II: Lost in San Francisco,David R. Ellis,Barry Jossen,Walt Disney Productions,Buena Vista Distribution,89,United States,English,,,Jack Conroy,08/03/1996,"Chris Hauty, Julie Hickson",Peter E. Berger,,,,,,,,,,,,,
James and the Giant Peach (film),Henry Selick,"Denise Di Novi, Tim Burton",,Buena Vista Distribution,79,,English," $38,000,000.00 ",,Hiro Narita,,,Stan Webb,"Karey Kirkpatrick, Jonathan Roberts","United Kingdom,United States","Walt Disney Pictures, Allied Filmmakers, Skellington Productions",,,,,,,,,,
The Hunchback of Notre Dame (1996 film),"Gary Trousdale, Kirk Wise",Don Hahn,,Buena Vista Distribution,91,United States,English," $70,000,000.00 ",,,,,Ellen Keneshea,"Tab Murphy, Irene Mecchi, Bob Tzudiker, Noni White, Jonathan Roberts",,"Walt Disney Pictures, Walt Disney Feature Animation",,,,,,,,,,
Aladdin and the King of Thieves,Tad Stones,Tad StonesJeannine Roussel,,Walt Disney Pictures,81,,English,,,,13/08/1996,,Elen Orson,"Mark McCorkle, Robert Schooley",United States,"Walt Disney Video Premiere, Walt Disney Television Animation, Walt Disney Video PremiereWalt Disney Television Animation",,,,,,,,,,
First Kid,David Mickey Evans,Roger Birnbaum,,Buena Vista Distribution,101,United States,English,,,Anthony B. Richmond,30/08/1996,Tim Kelleher,Harry Keramidas,,,"Walt Disney Pictures, Caravan Pictures, Roger Birnbaum Productions",,,,,,,,,,
D3: The Mighty Ducks,Robert Lieberman,"Jordan Kerner, Jon Avnet",,Buena Vista Distribution,104,United States,English,,,David Hennings,04/10/1996,,Patrick Lussier,Steven Brill,,Walt Disney Pictures,,,,,,,,,,
101 Dalmatians (1996 film),Stephen Herek,John HughesRicardo Mestres,,Buena Vista Distribution,103,United States,English," $67,000,000.00 ",,Adrian Biddle,,John Hughes,Trudy Ship,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
That Darn Cat (1997 film),Bob Spiers,Robert Simonds,,Buena Vista Distribution,86,United States,English,,,Jeremy Lasky,14/02/1997,,Roger Barton,S. M. AlexanderL. A. Karaszewski,,"Walt Disney Pictures, Robert Simonds Productions",,,,,,,,,,
